,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
0,709 W Orange Ave,South San Francisco,CA,94080,37.64973,-122.43276,949000,1944,3998,SINGLE_FAMILY,1152400,2,1,800,0,Coldwell Banker Realty,680000,FOR_SALE,0
1,814 Miller Ave,South San Francisco,CA,94080,37.660213,-122.4269,1805000,1939,7000,SINGLE_FAMILY,1855500,4,3,2000,0,KW Peninsula Estates,1605000,FOR_SALE,0
2,353 Granada Dr,South San Francisco,CA,94080,37.64136,-122.43593,1195000,1955,5250,SINGLE_FAMILY,1327500,3,1,1160,0,Sotheby's International Realty,0,FOR_SALE,2
3,10 Moonlight Ct,South San Francisco,CA,94080,37.6417,-122.44822,1180000,1995,1865,SINGLE_FAMILY,1339200,3,3,1610,130,Compass,650000,FOR_SALE,3
4,389 Heather Way,South San Francisco,CA,94080,37.666046,-122.43337,1349000,1954,4961,SINGLE_FAMILY,1171000,3,2,1575,0,Golden Gate Sotheby's International Realty,0,FOR_SALE,0
5,303 Forest View Dr,South San Francisco,CA,94080,37.6629,-122.43463,1150000,1953,4500,SINGLE_FAMILY,1131400,3,1,1000,0,"Angie Barreto, Broker",0,FOR_SALE,0
6,405 29th Ave,San Mateo,CA,94403,37.537216,-122.31008,2180000,1941,4939,SINGLE_FAMILY,2391900,3,3,2000,0,Compass,458500,FOR_SALE,0
7,605 Sylvan Ave,San Mateo,CA,94403,37.533978,-122.312744,1498000,1949,5549,SINGLE_FAMILY,1875400,2,1,1430,0,KW Peninsula Estates,1500000,FOR_SALE,0
8,709 28th Ave,San Mateo,CA,94403,37.535915,-122.31631,2598000,1976,6050,SINGLE_FAMILY,2430300,4,3,2450,0,Own Real Estate,0,FOR_SALE,0
9,450 Turner Ter,San Mateo,CA,94401,37.572525,-122.33458,2898000,1910,9343,SINGLE_FAMILY,3150400,4,4,2791,0,Compass,2650000,FOR_SALE,0
10,1043 Yates Way,San Mateo,CA,94403,37.546528,-122.2937,1335000,2000,14213,TOWNHOUSE,1593800,2,3,1254,299,Sereno,1310000,FOR_SALE,0
11,4283 George Ave APT 2,San Mateo,CA,94403,37.532047,-122.286095,798000,1965,1045,CONDO,862900,2,2,1040,495,Doherty Realty,84000,FOR_SALE,0
12,3517 Winway Cir,San Mateo,CA,94403,37.533047,-122.302345,2200000,1949,5606,SINGLE_FAMILY,2338600,3,2,2090,0,Compass,951000,FOR_SALE,1
